Method,Mode,Policy,Phase,Tolerance_ms,BaseSeed,F1,MAE_ms,AcceptedCoverage,MedAE_ms,RMSE_ms,OutlierRate1s,meta_F1_SD
PhaseNetMatched,Zonly,accepted,P,50,44,0.9636363636363636,28.939393939393817,1.0,9.999999999999787,130.11999124351382,0.006060606060606061,0
PhaseNetMatched,Zonly,accepted,P,100,42,0.9878787878787879,21.48484848484837,1.0,0.0,140.00757555261504,0.0030303030303030303,0
PhaseNetMatched,Zonly,accepted,P,100,43,0.9833080424886191,26.504559270516463,0.996969696969697,9.999999999999787,100.0729217403664,0.0,0
PhaseNetMatched,Zonly,accepted,P,100,44,0.9787878787878788,28.939393939393817,1.0,9.999999999999787,130.11999124351382,0.006060606060606061,0
PhaseNetMatched,Zonly,accepted,P,200,42,0.9878787878787879,21.48484848484837,1.0,0.0,140.00757555261504,0.0030303030303030303,0
PhaseNetMatched,Zonly,accepted,P,200,43,0.9833080424886191,26.504559270516463,0.996969696969697,9.999999999999787,100.0729217403664,0.0,0
PhaseNetMatched,Zonly,accepted,P,200,44,0.9787878787878788,28.939393939393817,1.0,9.999999999999787,130.11999124351382,0.006060606060606061,0
PhaseNetMatched,Zonly,accepted,S,50,42,0.15151515151515152,602.4242424242425,1.0,200.00000000000017,1799.6986279694586,0.09090909090909091,0
PhaseNetMatched,Zonly,accepted,S,50,43,0.1735159817351598,441.9877675840979,0.990909090909091,180.00000000000148,1131.176081437866,0.08256880733944955,0
PhaseNetMatched,Zonly,accepted,S,50,44,0.16666666666666666,468.48484848484856,1.0,209.99999999999997,1260.0610855803536,0.08181818181818182,0
PhaseNetMatched,Zonly,accepted,S,100,42,0.29393939393939394,602.4242424242425,1.0,200.00000000000017,1799.6986279694586,0.09090909090909091,0
PhaseNetMatched,Zonly,accepted,S,100,43,0.319634703196347,441.9877675840979,0.990909090909091,180.00000000000148,1131.176081437866,0.08256880733944955,0
PhaseNetMatched,Zonly,accepted,S,100,44,0.28484848484848485,468.48484848484856,1.0,209.99999999999997,1260.0610855803536,0.08181818181818182,0
PhaseNetMatched,Zonly,accepted,S,200,42,0.503030303030303,602.4242424242425,1.0,200.00000000000017,1799.6986279694586,0.09090909090909091,0
PhaseNetMatched,Zonly,accepted,S,200,43,0.5357686453576864,441.9877675840979,0.990909090909091,180.00000000000148,1131.176081437866,0.08256880733944955,0
PhaseNetMatched,Zonly,accepted,S,200,44,0.49696969696969695,468.48484848484856,1.0,209.99999999999997,1260.0610855803536,0.08181818181818182,0
PhaseNetMatched,Zonly,strict,P,50,42,0.9833080424886191,18.510638297872227,0.996969696969697,0.0,128.9270663974327,0.00303951367781155,0
PhaseNetMatched,Zonly,strict,P,50,43,0.9710806697108066,26.51376146788965,0.990909090909091,9.999999999999787,100.35868394625888,0.0,0
PhaseNetMatched,Zonly,strict,P,50,44,0.9665653495440729,22.804878048780367,0.9939393939393939,9.999999999999787,102.46355687660308,0.0,0
PhaseNetMatched,Zonly,strict,P,100,42,0.9893778452200304,18.510638297872227,0.996969696969697,0.0,128.9270663974327,0.00303951367781155,0
PhaseNetMatched,Zonly,strict,P,100,43,0.9802130898021308,26.51376146788965,0.990909090909091,9.999999999999787,100.35868394625888,0.0,0
PhaseNetMatched,Zonly,strict,P,100,44,0.9817629179331308,22.804878048780367,0.9939393939393939,9.999999999999787,102.46355687660308,0.0,0
PhaseNetMatched,Zonly,strict,P,200,42,0.9893778452200304,18.510638297872227,0.996969696969697,0.0,128.9270663974327,0.00303951367781155,0
PhaseNetMatched,Zonly,strict,P,200,43,0.9802130898021308,26.51376146788965,0.990909090909091,9.999999999999787,100.35868394625888,0.0,0
PhaseNetMatched,Zonly,strict,P,200,44,0.9817629179331308,22.804878048780367,0.9939393939393939,9.999999999999787,102.46355687660308,0.0,0
PhaseNetMatched,Zonly,strict,S,50,42,0.15267175572519084,551.3846153846155,0.9848484848484849,199.9999999999993,1622.7120698196775,0.08615384615384615,0
PhaseNetMatched,Zonly,strict,S,50,43,0.16923076923076924,413.84375000000006,0.9696969696969697,179.99999999999972,1043.874842833182,0.078125,0
PhaseNetMatched,Zonly,strict,S,50,44,0.16819571865443425,438.8580246913581,0.9818181818181818,199.99999999999972,1131.4069957903996,0.08024691358024691,0
PhaseNetMatched,Zonly,strict,S,100,42,0.2961832061068702,551.3846153846155,0.9848484848484849,199.9999999999993,1622.7120698196775,0.08615384615384615,0
PhaseNetMatched,Zonly,strict,S,100,43,0.3169230769230769,413.84375000000006,0.9696969696969697,179.99999999999972,1043.874842833182,0.078125,0
PhaseNetMatched,Zonly,strict,S,100,44,0.2874617737003058,438.8580246913581,0.9818181818181818,199.99999999999972,1131.4069957903996,0.08024691358024691,0
PhaseNetMatched,Zonly,strict,S,200,42,0.5038167938931297,551.3846153846155,0.9848484848484849,199.9999999999993,1622.7120698196775,0.08615384615384615,0
PhaseNetMatched,Zonly,strict,S,200,43,0.5323076923076923,413.84375000000006,0.9696969696969697,179.99999999999972,1043.874842833182,0.078125,0
PhaseNetMatched,Zonly,strict,S,200,44,0.4984709480122324,438.8580246913581,0.9818181818181818,199.99999999999972,1131.4069957903996,0.08024691358024691,0
