Method,Mode,BaseSeed,MetaSeed,Policy,Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
Stack,Full3C,44,43,strict,S,200,335,300,300,227,73,108,0.7566666666666667,0.6776119402985075,0.7149606299212599,0.8955223880597015,457.8333333333333,60.000000000001386,1670.3589434609557,0.06
Stack,Full3C,44,44,accepted,P,50,335,333,333,240,93,95,0.7207207207207207,0.7164179104477612,0.718562874251497,0.9940298507462687,70.7207207207206,19.999999999999574,294.6851528993942,0.003003003003003003
Stack,Full3C,44,44,accepted,P,100,335,333,333,290,43,45,0.8708708708708709,0.8656716417910447,0.8682634730538922,0.9940298507462687,70.7207207207206,19.999999999999574,294.6851528993942,0.003003003003003003
Stack,Full3C,44,44,accepted,P,200,335,333,333,311,22,24,0.933933933933934,0.9283582089552239,0.9311377245508982,0.9940298507462687,70.7207207207206,19.999999999999574,294.6851528993942,0.003003003003003003
Stack,Full3C,44,44,accepted,S,50,335,329,309,143,186,192,0.43465045592705165,0.42686567164179107,0.4307228915662651,0.982089552238806,641.7629179331307,70.00000000000028,2267.208425035773,0.08206686930091185
Stack,Full3C,44,44,accepted,S,100,335,329,309,197,132,138,0.5987841945288754,0.5880597014925373,0.5933734939759037,0.982089552238806,641.7629179331307,70.00000000000028,2267.208425035773,0.08206686930091185
Stack,Full3C,44,44,accepted,S,200,335,329,309,246,83,89,0.7477203647416414,0.7343283582089553,0.7409638554216867,0.982089552238806,641.7629179331307,70.00000000000028,2267.208425035773,0.08206686930091185
Stack,Full3C,44,44,strict,P,50,335,333,333,240,93,95,0.7207207207207207,0.7164179104477612,0.718562874251497,0.9940298507462687,70.7207207207206,19.999999999999574,294.6851528993942,0.003003003003003003
Stack,Full3C,44,44,strict,P,100,335,333,333,290,43,45,0.8708708708708709,0.8656716417910447,0.8682634730538922,0.9940298507462687,70.7207207207206,19.999999999999574,294.6851528993942,0.003003003003003003
Stack,Full3C,44,44,strict,P,200,335,333,333,311,22,24,0.933933933933934,0.9283582089552239,0.9311377245508982,0.9940298507462687,70.7207207207206,19.999999999999574,294.6851528993942,0.003003003003003003
Stack,Full3C,44,44,strict,S,50,335,309,309,138,171,197,0.44660194174757284,0.41194029850746267,0.42857142857142855,0.9223880597014925,545.0485436893204,70.00000000000028,1960.2268543177215,0.06796116504854369
Stack,Full3C,44,44,strict,S,100,335,309,309,190,119,145,0.6148867313915858,0.5671641791044776,0.5900621118012422,0.9223880597014925,545.0485436893204,70.00000000000028,1960.2268543177215,0.06796116504854369
Stack,Full3C,44,44,strict,S,200,335,309,309,237,72,98,0.7669902912621359,0.7074626865671642,0.7360248447204969,0.9223880597014925,545.0485436893204,70.00000000000028,1960.2268543177215,0.06796116504854369
Stack,Zonly,42,42,accepted,P,50,335,334,333,247,87,88,0.7395209580838323,0.7373134328358208,0.7384155455904334,0.9970149253731343,106.22754491017953,19.999999999999574,743.0963703106497,0.005988023952095809
Stack,Zonly,42,42,accepted,P,100,335,334,333,289,45,46,0.8652694610778443,0.8626865671641791,0.8639760837070254,0.9970149253731343,106.22754491017953,19.999999999999574,743.0963703106497,0.005988023952095809
Stack,Zonly,42,42,accepted,P,200,335,334,333,313,21,22,0.937125748502994,0.9343283582089552,0.9357249626307922,0.9970149253731343,106.22754491017953,19.999999999999574,743.0963703106497,0.005988023952095809
Stack,Zonly,42,42,accepted,S,50,335,316,265,67,249,268,0.2120253164556962,0.2,0.20583717357910905,0.9432835820895522,903.006329113924,210.00000000000085,2235.466351821602,0.1550632911392405
Stack,Zonly,42,42,accepted,S,100,335,316,265,106,210,229,0.33544303797468356,0.3164179104477612,0.32565284178187404,0.9432835820895522,903.006329113924,210.00000000000085,2235.466351821602,0.1550632911392405
Stack,Zonly,42,42,accepted,S,200,335,316,265,154,162,181,0.4873417721518987,0.4597014925373134,0.4731182795698925,0.9432835820895522,903.006329113924,210.00000000000085,2235.466351821602,0.1550632911392405
Stack,Zonly,42,42,strict,P,50,335,333,333,247,86,88,0.7417417417417418,0.7373134328358208,0.7395209580838323,0.9940298507462687,69.12912912912903,19.999999999999574,296.0226839778152,0.003003003003003003
Stack,Zonly,42,42,strict,P,100,335,333,333,289,44,46,0.8678678678678678,0.8626865671641791,0.8652694610778443,0.9940298507462687,69.12912912912903,19.999999999999574,296.0226839778152,0.003003003003003003
Stack,Zonly,42,42,strict,P,200,335,333,333,313,20,22,0.93993993993994,0.9343283582089552,0.937125748502994,0.9940298507462687,69.12912912912903,19.999999999999574,296.0226839778152,0.003003003003003003
Stack,Zonly,42,42,strict,S,50,335,265,265,63,202,272,0.23773584905660378,0.1880597014925373,0.21,0.7910447761194029,588.3396226415094,179.99999999999972,1511.7655553489844,0.1018867924528302
Stack,Zonly,42,42,strict,S,100,335,265,265,100,165,235,0.37735849056603776,0.29850746268656714,0.3333333333333333,0.7910447761194029,588.3396226415094,179.99999999999972,1511.7655553489844,0.1018867924528302
Stack,Zonly,42,42,strict,S,200,335,265,265,141,124,194,0.5320754716981132,0.4208955223880597,0.47,0.7910447761194029,588.3396226415094,179.99999999999972,1511.7655553489844,0.1018867924528302
Stack,Zonly,42,43,accepted,P,50,335,333,333,247,86,88,0.7417417417417418,0.7373134328358208,0.7395209580838323,0.9940298507462687,69.2792792792792,20.000000000000018,295.8293680739203,0.003003003003003003
Stack,Zonly,42,43,accepted,P,100,335,333,333,289,44,46,0.8678678678678678,0.8626865671641791,0.8652694610778443,0.9940298507462687,69.2792792792792,20.000000000000018,295.8293680739203,0.003003003003003003
Stack,Zonly,42,43,accepted,P,200,335,333,333,314,19,21,0.9429429429429429,0.9373134328358209,0.9401197604790419,0.9940298507462687,69.2792792792792,20.000000000000018,295.8293680739203,0.003003003003003003
Stack,Zonly,42,43,accepted,S,50,335,302,242,57,245,278,0.18874172185430463,0.1701492537313433,0.17896389324960754,0.9014925373134328,1019.3377483443709,214.99999999999986,2666.379220158934,0.15562913907284767
Stack,Zonly,42,43,accepted,S,100,335,302,242,107,195,228,0.3543046357615894,0.3194029850746269,0.3359497645211931,0.9014925373134328,1019.3377483443709,214.99999999999986,2666.379220158934,0.15562913907284767
Stack,Zonly,42,43,accepted,S,200,335,302,242,149,153,186,0.49337748344370863,0.44477611940298506,0.46781789638932497,0.9014925373134328,1019.3377483443709,214.99999999999986,2666.379220158934,0.15562913907284767
Stack,Zonly,42,43,strict,P,50,335,333,333,247,86,88,0.7417417417417418,0.7373134328358208,0.7395209580838323,0.9940298507462687,69.2792792792792,20.000000000000018,295.8293680739203,0.003003003003003003
Stack,Zonly,42,43,strict,P,100,335,333,333,289,44,46,0.8678678678678678,0.8626865671641791,0.8652694610778443,0.9940298507462687,69.2792792792792,20.000000000000018,295.8293680739203,0.003003003003003003
Stack,Zonly,42,43,strict,P,200,335,333,333,314,19,21,0.9429429429429429,0.9373134328358209,0.9401197604790419,0.9940298507462687,69.2792792792792,20.000000000000018,295.8293680739203,0.003003003003003003
Stack,Zonly,42,43,strict,S,50,335,242,242,53,189,282,0.2190082644628099,0.1582089552238806,0.18370883882149047,0.7223880597014926,672.1900826446282,150.00000000000034,1896.5036338108746,0.09504132231404959
