Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s,Mode,BaseSeed,MetaSeed,Method
S,50,330,318,256,58,260,272,0.182389937106918,0.175757575757576,0.179012345679012,0.963636363636364,994.685534591195,270.000000000001,2319.38555895073,0.169811320754717,Zonly,44,44,Stack
S,100,330,318,256,85,233,245,0.267295597484277,0.257575757575758,0.262345679012346,0.963636363636364,994.685534591195,270.000000000001,2319.38555895073,0.169811320754717,Zonly,44,44,Stack
S,200,330,318,256,136,182,194,0.427672955974843,0.412121212121212,0.419753086419753,0.963636363636364,994.685534591195,270.000000000001,2319.38555895073,0.169811320754717,Zonly,44,44,Stack
P,50,330,330,330,321,9,9,0.972727272727273,0.972727272727273,0.972727272727273,1,41.0909090909089,9.99999999999979,365.444519687595,0.00303030303030303,Full3C,42,NaN,PhaseNetMatched
P,100,330,330,330,324,6,6,0.981818181818182,0.981818181818182,0.981818181818182,1,41.0909090909089,9.99999999999979,365.444519687595,0.00303030303030303,Full3C,42,NaN,PhaseNetMatched
P,200,330,330,330,325,5,5,0.984848484848485,0.984848484848485,0.984848484848485,1,41.0909090909089,9.99999999999979,365.444519687595,0.00303030303030303,Full3C,42,NaN,PhaseNetMatched
S,50,330,330,327,121,209,209,0.366666666666667,0.366666666666667,0.366666666666667,1,179.545454545455,80.0000000000001,386.903401929012,0.0151515151515152,Full3C,42,NaN,PhaseNetMatched
S,100,330,330,327,191,139,139,0.578787878787879,0.578787878787879,0.578787878787879,1,179.545454545455,80.0000000000001,386.903401929012,0.0151515151515152,Full3C,42,NaN,PhaseNetMatched
S,200,330,330,327,247,83,83,0.748484848484849,0.748484848484849,0.748484848484849,1,179.545454545455,80.0000000000001,386.903401929012,0.0151515151515152,Full3C,42,NaN,PhaseNetMatched
P,50,330,330,330,322,8,8,0.975757575757576,0.975757575757576,0.975757575757576,1,28.3333333333333,0,272.476298663449,0.00303030303030303,Full3C,43,NaN,PhaseNetMatched
P,100,330,330,330,325,5,5,0.984848484848485,0.984848484848485,0.984848484848485,1,28.3333333333333,0,272.476298663449,0.00303030303030303,Full3C,43,NaN,PhaseNetMatched
P,200,330,330,330,325,5,5,0.984848484848485,0.984848484848485,0.984848484848485,1,28.3333333333333,0,272.476298663449,0.00303030303030303,Full3C,43,NaN,PhaseNetMatched
S,50,330,325,323,132,193,198,0.406153846153846,0.4,0.403053435114504,0.984848484848485,164,70.0000000000003,379.628968660393,0.00615384615384615,Full3C,43,NaN,PhaseNetMatched
S,100,330,325,323,203,122,127,0.624615384615385,0.615151515151515,0.619847328244275,0.984848484848485,164,70.0000000000003,379.628968660393,0.00615384615384615,Full3C,43,NaN,PhaseNetMatched
S,200,330,325,323,248,77,82,0.763076923076923,0.751515151515151,0.757251908396947,0.984848484848485,164,70.0000000000003,379.628968660393,0.00615384615384615,Full3C,43,NaN,PhaseNetMatched
P,50,330,329,329,322,7,8,0.978723404255319,0.975757575757576,0.977238239757208,0.996969696969697,33.981762917933,9.99999999999979,261.795298115725,0.00303951367781155,Full3C,44,NaN,PhaseNetMatched
P,100,330,329,329,324,5,6,0.984802431610942,0.981818181818182,0.983308042488619,0.996969696969697,33.981762917933,9.99999999999979,261.795298115725,0.00303951367781155,Full3C,44,NaN,PhaseNetMatched
P,200,330,329,329,325,4,5,0.987841945288754,0.984848484848485,0.986342943854325,0.996969696969697,33.981762917933,9.99999999999979,261.795298115725,0.00303951367781155,Full3C,44,NaN,PhaseNetMatched
S,50,330,329,326,118,211,212,0.358662613981763,0.357575757575758,0.358118361153263,0.996969696969697,166.808510638298,89.9999999999999,264.694582272661,0.0060790273556231,Full3C,44,NaN,PhaseNetMatched
S,100,330,329,326,184,145,146,0.559270516717325,0.557575757575758,0.558421851289833,0.996969696969697,166.808510638298,89.9999999999999,264.694582272661,0.0060790273556231,Full3C,44,NaN,PhaseNetMatched
S,200,330,329,326,235,94,95,0.714285714285714,0.712121212121212,0.713201820940819,0.996969696969697,166.808510638298,89.9999999999999,264.694582272661,0.0060790273556231,Full3C,44,NaN,PhaseNetMatched
P,50,330,330,329,324,6,6,0.981818181818182,0.981818181818182,0.981818181818182,1,21.4848484848484,0,140.007575552615,0.00303030303030303,Zonly,42,NaN,PhaseNetMatched
P,100,330,330,329,326,4,4,0.987878787878788,0.987878787878788,0.987878787878788,1,21.4848484848484,0,140.007575552615,0.00303030303030303,Zonly,42,NaN,PhaseNetMatched
P,200,330,330,329,326,4,4,0.987878787878788,0.987878787878788,0.987878787878788,1,21.4848484848484,0,140.007575552615,0.00303030303030303,Zonly,42,NaN,PhaseNetMatched
S,50,330,330,325,50,280,280,0.151515151515152,0.151515151515152,0.151515151515152,1,602.424242424242,200,1799.69862796946,0.0909090909090909,Zonly,42,NaN,PhaseNetMatched
S,100,330,330,325,97,233,233,0.293939393939394,0.293939393939394,0.293939393939394,1,602.424242424242,200,1799.69862796946,0.0909090909090909,Zonly,42,NaN,PhaseNetMatched
S,200,330,330,325,166,164,164,0.503030303030303,0.503030303030303,0.503030303030303,1,602.424242424242,200,1799.69862796946,0.0909090909090909,Zonly,42,NaN,PhaseNetMatched
P,50,330,329,327,321,8,9,0.975683890577508,0.972727272727273,0.974203338391502,0.996969696969697,26.5045592705165,9.99999999999979,100.072921740366,0,Zonly,43,NaN,PhaseNetMatched
P,100,330,329,327,324,5,6,0.984802431610942,0.981818181818182,0.983308042488619,0.996969696969697,26.5045592705165,9.99999999999979,100.072921740366,0,Zonly,43,NaN,PhaseNetMatched
P,200,330,329,327,324,5,6,0.984802431610942,0.981818181818182,0.983308042488619,0.996969696969697,26.5045592705165,9.99999999999979,100.072921740366,0,Zonly,43,NaN,PhaseNetMatched
S,50,330,327,320,57,270,273,0.174311926605505,0.172727272727273,0.17351598173516,0.990909090909091,441.987767584098,180.000000000001,1131.17608143787,0.0825688073394495,Zonly,43,NaN,PhaseNetMatched
S,100,330,327,320,105,222,225,0.321100917431193,0.318181818181818,0.319634703196347,0.990909090909091,441.987767584098,180.000000000001,1131.17608143787,0.0825688073394495,Zonly,43,NaN,PhaseNetMatched
S,200,330,327,320,176,151,154,0.53822629969419,0.533333333333333,0.535768645357686,0.990909090909091,441.987767584098,180.000000000001,1131.17608143787,0.0825688073394495,Zonly,43,NaN,PhaseNetMatched
P,50,330,330,328,318,12,12,0.963636363636364,0.963636363636364,0.963636363636364,1,28.9393939393938,9.99999999999979,130.119991243514,0.00606060606060606,Zonly,44,NaN,PhaseNetMatched
P,100,330,330,328,323,7,7,0.978787878787879,0.978787878787879,0.978787878787879,1,28.9393939393938,9.99999999999979,130.119991243514,0.00606060606060606,Zonly,44,NaN,PhaseNetMatched
P,200,330,330,328,323,7,7,0.978787878787879,0.978787878787879,0.978787878787879,1,28.9393939393938,9.99999999999979,130.119991243514,0.00606060606060606,Zonly,44,NaN,PhaseNetMatched
S,50,330,330,324,55,275,275,0.166666666666667,0.166666666666667,0.166666666666667,1,468.484848484848,210,1260.06108558035,0.0818181818181818,Zonly,44,NaN,PhaseNetMatched
S,100,330,330,324,94,236,236,0.284848484848485,0.284848484848485,0.284848484848485,1,468.484848484848,210,1260.06108558035,0.0818181818181818,Zonly,44,NaN,PhaseNetMatched
S,200,330,330,324,164,166,166,0.496969696969697,0.496969696969697,0.496969696969697,1,468.484848484848,210,1260.06108558035,0.0818181818181818,Zonly,44,NaN,PhaseNetMatched
